시점,출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),주택매매가격지수,주택가변동률
2005.01,41354,10,21762,5.3,19592,4.7,24214,5.9,10447,2.5,59.28622177,0.157
2005.02,35810,9.6,19057,5.1,16753,4.5,20633,5.5,9639,2.6,59.45705474,0.123
2005.03,41052,9.9,21855,5.3,19197,4.6,26928,6.5,12071,2.9,59.67870115,0.278
2005.04,36605,9.2,21087,5.3,15518,3.9,25348,6.3,9999,2.5,60.00595092,0.455
2005.05,35983,8.7,21132,5.1,14851,3.6,29505,7.1,10636,2.6,60.30646414,0.434
2005.06,33725,8.4,19105,4.8,14620,3.7,27173,6.8,10531,2.6,60.76871412,0.75
2005.07,34658,8.4,19377,4.7,15281,3.7,21804,5.3,10578,2.6,61.23566365,0.363
2005.08,36003,8.7,19485,4.7,16518,4,23344,5.6,12226,3,61.46053266,0.464
2005.09,37413,9.3,18970,4.7,18443,4.6,18991,4.7,10836,2.7,61.61654985,0.15
2005.10,37283,9,21268,5.1,16015,3.9,23867,5.8,10717,2.6,61.6091837,0.299
2005.11,35737,8.9,20869,5.2,14868,3.7,31693,7.9,10459,2.6,61.59867564,0.384
2005.12,33084,8,21907,5.3,11177,2.7,40804,9.9,9896,2.4,61.70038579,0.312
2006.01,40692,9.8,21552,5.2,19140,4.6,26287,6.3,10282,2.5,61.89352303,0.295
2006.02,37522,10,19145,5.1,18377,4.9,22319,6,10985,2.9,62.14736168,0.386
2006.03,41209,9.9,21264,5.1,19945,4.8,27425,6.6,11280,2.7,62.54604661,0.541
2006.04,37666,9.4,20360,5.1,17306,4.3,24364,6.1,9528,2.4,63.06011749,0.519
2006.05,37740,9.1,20446,4.9,17294,4.2,31420,7.6,10295,2.5,63.64432608,0.517
2006.06,35347,8.8,19005,4.7,16342,4.1,29038,7.2,10923,2.7,63.96566795,0.453
2006.07,35154,8.5,19481,4.7,15673,3.8,22414,5.4,10164,2.4,64.12319407,0.428
2006.08,37457,9,20147,4.9,17310,4.2,25182,6.1,11375,2.7,64.27742515,0.435
2006.09,38471,9.6,19730,4.9,18741,4.7,19207,4.8,10047,2.5,64.68505273,0.502
2006.10,38556,9.3,20467,4.9,18089,4.4,23163,5.6,9543,2.3,65.56727771,0.574
2006.11,37110,9.2,20911,5.2,16199,4,33716,8.4,10471,2.6,67.54217884,0.6
2006.12,34835,8.4,21654,5.2,13181,3.2,46099,11.1,9631,2.3,68.84326637,0.553
2007.01,43704,10.5,22723,5.5,20981,5,32882,7.9,10643,2.6,69.73067767,0.372
2007.02,39485,10.5,19445,5.2,20040,5.3,27806,7.4,9795,2.6,70.13773971,0.338
2007.03,43578,10.5,20817,5,22761,5.5,27313,6.6,10487,2.5,70.40257509,0.295
2007.04,40290,10,20454,5.1,19836,4.9,26573,6.6,10348,2.6,70.62490927,0.259
2007.05,39913,9.6,20516,4.9,19397,4.7,31827,7.6,10653,2.6,70.76785095,0.255
2007.06,37112,9.2,19121,4.7,17991,4.5,27575,6.8,9804,2.4,70.9580586,0.275
2007.07,39522,9.5,19414,4.7,20108,4.8,24817,5.9,10462,2.5,71.23293647,0.289
2007.08,44041,10.6,19612,4.7,24429,5.8,25920,6.2,11220,2.7,71.45671255,0.313
2007.09,44871,11.1,19857,4.9,25014,6.2,18284,4.5,8673,2.1,71.81450605,0.343
2007.10,45722,10.9,21531,5.2,24191,5.8,27323,6.5,11329,2.7,72.2047026,0.385
2007.11,41865,10.4,21170,5.2,20695,5.1,33472,8.3,10949,2.7,72.60255104,0.424
2007.12,36719,8.8,21822,5.2,14897,3.6,39767,9.5,9709,2.3,72.84614244,0.42
2008.01,46747,11.2,21845,5.2,24902,6,29503,7.1,10645,2.6,73.19597908,0.377
2008.02,39495,10.1,21056,5.4,18439,4.7,24486,6.3,9836,2.5,73.52734233,0.423
2008.03,41318,9.9,22609,5.4,18709,4.5,28355,6.8,11263,2.7,74.30486051,0.492
2008.04,38783,9.6,20259,5,18524,4.6,26536,6.6,11023,2.7,75.19619456,0.534
2008.05,37598,9,20317,4.9,17281,4.1,30865,7.4,10773,2.6,75.90980641,0.51
2008.06,35035,8.7,18801,4.6,16234,4,27220,6.7,11264,2.8,76.78344546,0.478
2008.07,38042,9.1,19267,4.6,18775,4.5,26098,6.2,9141,2.2,77.35143997,0.429
2008.08,37787,9,19314,4.6,18473,4.4,23659,5.7,6364,1.5,77.70634405,0.43
2008.09,40037,9.9,18681,4.6,21356,5.3,20129,5,6704,1.7,78.09270481,0.3
2008.10,39886,9.5,21437,5.1,18449,4.4,25543,6.1,9603,2.3,78.09297709,-0.049
2008.11,36473,9,20916,5.2,15557,3.8,26834,6.6,9192,2.3,77.72391268,-1.823
2008.12,34691,8.3,21611,5.2,13080,3.1,38487,9.2,10727,2.6,77.11731849,-2.961
2009.01,44149,10.5,22774,5.4,21375,5.1,28372,6.7,9395,2.2,76.69440508,-0.812
2009.02,36681,9.7,19307,5.1,17374,4.6,23255,6.1,9828,2.6,76.51898311,-0.364
2009.03,39834,9.5,21026,5,18808,4.5,25817,6.1,10559,2.5,76.39578318,-0.079
2009.04,37539,9.2,20924,5.1,16615,4.1,24734,6.1,9861,2.4,76.43989905,0.102
2009.05,35864,8.5,21364,5.1,14500,3.4,28413,6.7,10135,2.4,76.52812685,0.142
2009.06,34122,8.4,19626,4.8,14496,3.6,25857,6.3,11265,2.8,76.67650462,0.197
2009.07,35779,8.5,19320,4.6,16459,3.9,22841,5.4,11307,2.7,76.88937353,0.222
