시점,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
2005,0.887,1.2,10.5,69.4,74.6,16.7,1.9,0.1
2006,0.915,1.1,10.1,64.2,83.3,18.4,1.9,0.1
2007,1.024,1.7,11.6,69.8,92.7,22.5,2.4,0.1
2008,0.98,1.3,11.1,61.8,93,23.8,2.6,0.1
2009,0.94,1.5,10,57.7,91.9,24.5,2.7,0.1
2010,1.045,1.6,11,58,104.7,31.8,3.5,0.1
2011,1.078,1.6,11.3,59,106.7,34.6,4.1,0.1
2012,1.135,1.6,11.1,59,113.9,38,4.6,0.2
2013,1.049,1.8,10.9,51.3,102.5,38.7,4.4,0.1
2014,1.09,1.5,10,49.9,107.7,43.3,4.8,0.1
2015,1.139,1.4,10.1,51.3,110,49.5,5.8,0.1
2016,1.095,1.5,9,46.2,105.8,50.5,6.2,0.2
2017,0.976,1.1,7.4,40,92.3,47.7,6.1,0.1
2018,0.899,1.1,5.7,32.8,86.5,46,6.2,0.1
2019,0.827,0.8,5.2,28.8,79.3,42.5,6.6,0.2
