시점,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2005.01,-0.28,-0.3,-0.41,-0.01,-0.54,0.11,-0.54,0.11,-,-0.41,0.26,0,0.07,-0.24,-0.44,-0.26,-0.07,-0.4
2005.02,0.29,0.59,-0.15,0.07,-0.13,0.29,0.05,0.13,-,0.52,0.26,0.25,0.66,0.06,0.02,0.1,0.07,-0.79
2005.03,0.37,0.3,-0.07,0.42,0.23,0.47,0.98,0.35,-,0.58,0.64,0.65,0.75,0.16,-0.31,0.04,0.43,0
2005.04,0.55,0.65,-0.02,1.15,0.32,0.53,0.85,0.73,-,0.61,-0.23,0.58,1.03,0.31,1.01,0.4,0.36,-0.02
2005.05,0.5,0.57,0.04,1.11,0.01,0.68,0.44,0.73,-,0.69,0.59,0.48,0.48,0.11,-0.56,0.59,0.57,-0.07
2005.06,0.77,1.13,-0.08,0.86,0.01,0.27,0.42,0.46,-,1.53,0.31,0.33,0.31,-0.04,0.06,0.7,0.29,0.12
2005.07,0.77,1.21,-0.07,0.65,0.04,0.33,0.52,0.63,-,1.45,0.3,0.36,0.42,0.25,0.45,0.37,0.3,-0.37
2005.08,0.37,0.4,-0.1,0.72,0.27,0.81,0.05,0.73,-,0.44,0.26,1.18,0.48,0.38,-0.14,0.27,0.18,-0.09
2005.09,0.25,0.37,-0.07,0.82,0.07,0.33,-0.21,0.71,-,0.22,0.6,0.55,-0.05,0.36,-0.03,0.17,0.19,-0.03
2005.1,-0.01,0.01,-0.32,0.38,-0.13,0.04,-0.79,0.43,-,-0.12,0.2,0.81,-0.27,0.52,0.03,0.49,0.06,-0.03
2005.11,-0.02,0.23,-0.1,0.27,-0.07,0.15,-0.5,0.06,-,-0.14,0.08,0.22,-0.43,0,-0.21,0.47,-0.09,-2.31
2005.12,0.17,0.36,-0.05,0.46,-0.02,0.14,0.2,0.07,-,0.17,-0.32,0.16,-0.03,0.1,-0.24,0.26,0.05,-0.06
2006.01,0.31,0.58,-0.19,0.41,0.28,0.4,0.22,0.62,-,0.39,0.15,0.54,-0.22,0.19,-0.2,0.06,0.2,-0.16
2006.02,0.41,0.71,0.01,0.29,0.06,0.36,-0.24,0.5,-,0.66,0.43,0.63,0.19,0.3,0.08,0.22,0.08,0
2006.03,0.64,1.11,0.02,0.64,0.29,0.32,0.11,1.19,-,0.87,0.99,0.95,0.3,0.4,-0.73,0.42,0.24,-0.02
2006.04,0.82,1.51,-0.09,0.33,0.6,0.72,0.1,1.41,-,1.28,0.3,0.69,0.32,0.43,-0.11,0.29,0.09,-0.7
2006.05,0.93,1.41,-0.2,0.36,0.44,0.1,-0.17,2.01,-,1.92,0.28,0.25,0.07,0.52,-0.37,0.75,0.31,-0.44
2006.06,0.5,0.76,-0.2,0.05,0.66,0.45,-0.36,1.1,-,1.1,-0.17,0.17,-0.49,0.35,0.24,0.38,-0.2,-0.13
2006.07,0.25,0.41,-0.18,-0.2,0.28,0.02,-0.35,0.76,-,0.58,0.14,0.1,-0.04,0.14,-0.06,0.66,-0.24,-0.04
2006.08,0.24,0.34,-0.07,-0.09,0.68,0.1,-0.29,0.5,-,0.58,-0.25,-0.24,-0.24,0.2,0.14,0.15,-0.13,-0.95
2006.09,0.63,1.03,-0.05,0.12,0.63,0.26,-0.32,1.5,-,1.2,0,-0.01,-0.01,0.18,0.33,0.42,-0.01,-0.01
2006.1,1.36,2.01,0.02,0.05,1.27,0.34,-0.1,2.04,-,2.94,-0.03,0.12,-0.06,0.46,0.37,0.49,0.11,0.02
2006.11,3.01,4.58,0.07,0.14,2.94,0.14,0.19,2.76,-,6.82,0.06,0.01,0.15,0.21,0.16,0.63,0.11,0.43
2006.12,1.93,3.04,0.01,0.06,3.15,0.06,0.05,1.35,-,3.91,-0.44,-0.04,0.04,0.3,0.23,0.35,0.26,0.25
2007.01,1.29,2.09,0.01,-0.05,2.52,0.02,0.18,1.4,-,2.4,-0.14,0.01,0.04,0.11,0.11,0.3,0.13,-0.24
2007.02,0.58,0.86,-0.06,-0.12,1.3,0.01,-0.17,0.75,-,1.09,-0.01,-0.18,0.25,0.16,0.6,0.33,0.07,0.01
2007.03,0.38,0.65,0,-0.18,0.89,0.06,-0.22,0.89,-,0.62,-0.28,0.18,-0.06,0.15,0.06,0.31,-0.03,-0.25
2007.04,0.32,0.59,0.03,-0.3,1.03,0.11,-0.44,0.66,-,0.44,-0.02,0.16,0.02,0.04,0.42,0.15,0.04,-0.7
2007.05,0.2,0.25,-0.06,0.02,1.67,-0.22,-0.18,0.51,-,0.2,-0.17,-0.42,0.12,-0.17,0.18,0.26,0.1,-1.34
2007.06,0.27,0.48,-0.06,-0.23,1.35,0.01,-0.2,0.74,-,0.29,-0.15,-0.05,-0.09,-0.02,0.35,0.25,-0.06,-0.35
2007.07,0.39,0.74,0,-0.03,1.28,0.09,-0.23,0.11,-,0.52,-0.18,-0.09,-0.05,0.05,0.49,0.07,-0.01,-0.06
2007.08,0.31,0.48,0.02,-0.14,1.05,0.05,-0.13,0.09,-,0.52,-0.16,0.03,0.13,-0.02,0.26,0.11,0.03,0.18
2007.09,0.5,0.95,0.08,-0.08,1.64,-0.14,-0.07,-0.03,-,0.64,-0.14,0.23,0.28,0.01,0.19,-0.01,0.18,-0.27
2007.1,0.54,0.81,0.09,0.04,1.76,0.15,0.09,0.44,-,0.72,-0.27,0.48,0.09,0.03,0.05,0.46,0.1,0.04
2007.11,0.55,0.93,0.18,-0.01,1.97,0.17,0.08,0.47,-,0.58,-0.21,-0.07,-0.11,0.3,0.42,-0.19,0.34,0.09
2007.12,0.34,0.58,0.15,-0.12,1.39,0.04,0.07,0.14,-,0.27,-0.29,-0.07,-0.01,0.17,0.77,0.3,0.2,-0.48
2008.01,0.48,1.03,0.14,-0.1,1.42,-0.02,0.07,0.21,-,0.43,-0.12,0.08,-0.15,0.17,1.11,0.14,0.06,-0.03
2008.02,0.45,0.87,0.14,0.05,0.77,0,0.02,0.31,-,0.6,-0.06,0.25,-0.14,0.26,0.72,0.02,0.14,0.03
2008.03,1.06,2.05,0.43,-0.02,2.21,0.15,0.15,0.2,-,1.31,-0.23,0.33,-0.05,1.04,0.67,0.08,0.26,0.03
2008.04,1.2,2.2,0.44,-0.03,1.88,0.44,0.19,0.24,-,1.59,-0.18,0.18,-0.08,0.96,3.21,0.2,0.34,0.41
2008.05,0.95,1.58,0.3,-0.1,3.06,0.44,0.06,0.37,-,1.12,0.18,0.24,0.05,0.9,0.41,-0.03,0.23,0.06
2008.06,1.15,1.74,0.42,-0.18,3.26,0.2,0.09,0.38,-,1.44,0.59,0.18,0.46,1.47,1.5,0,0.58,0.06
2008.07,0.74,0.91,0.44,-0.07,3.38,0.03,0.41,-0.18,-,0.74,0.51,0.15,0.35,0.68,0.93,0.01,0.18,0.23
2008.08,0.46,0.44,0.25,-0.13,2.45,0.13,0.24,0.24,-,0.39,0.3,0.14,0.28,0.63,0.39,0.05,0.27,0.02
2008.09,0.5,0.5,0.41,-0.16,2.6,0.25,0.28,-0.25,-,0.32,0.13,0.19,0.78,0.87,1.07,0.01,0.49,-1.22
2008.1,0,-0.02,0.27,-0.21,0.5,0.04,0.04,-0.03,-,-0.34,0.37,0.15,0.34,0.02,0.06,-0.26,0.41,0.17
2008.11,-0.47,-0.69,0.09,-0.4,0.01,-0.06,-0.09,-0.24,-,-1.14,-0.08,-0.04,-0.04,-0.28,0.27,-0.41,0.06,-0.03
2008.12,-0.78,-1.39,-0.02,-0.84,-0.45,-0.22,-0.06,-0.64,-,-1.17,-0.03,-0.35,-0.24,-0.15,0.15,-1.06,-0.27,-0.67
2009.01,-0.55,-0.7,-0.08,-0.76,-0.62,-0.27,-0.08,-0.3,-,-0.91,-0.15,0.08,-0.3,-0.37,-0.74,-0.41,-0.08,-0.14
2009.02,-0.23,-0.12,0.03,-0.65,-0.42,-0.07,0.01,0.16,-,-0.48,-0.01,-0.22,-0.05,-0.1,-0.01,-0.37,-0.09,0.05
2009.03,-0.16,-0.15,0.13,-0.4,-0.29,-0.15,0,-0.2,-,-0.34,0.1,-0.33,-0.18,0.25,-0.02,-0.25,0.15,0.07
2009.04,0.06,0.24,0.17,-0.28,-0.24,-0.12,0.05,0.01,-,0,-0.11,-0.15,0.2,0.2,0.41,-0.01,0.09,0.16
2009.05,0.12,0.12,0.24,0.02,-0.02,-0.15,0.28,0.17,-,0.2,0.01,0.15,-0.22,0.15,0.05,-0.09,0.08,0.23
2009.06,0.19,0.37,0.19,-0.06,0.35,-0.06,0.28,0.26,-,0.17,-0.01,0.13,-0.12,0.14,0.04,-0.05,0.24,0.1
2009.07,0.28,0.72,0.19,0.04,-0.07,-0.11,0.35,0.45,-,0.3,0.04,0.03,-0.07,0.2,-0.02,-0.06,0.03,0.03
2009.08,0.32,0.54,0.31,0.02,0.21,-0.02,0.44,0.46,-,0.36,0.1,0.14,-0.04,0.42,0.04,0.08,0.15,0.78
2009.09,0.7,1.12,0.94,0.3,0.69,0.09,0.98,0.47,-,0.66,0.32,0.3,0.31,0.44,0.27,0.44,0.53,0.07
2009.1,0.37,0.48,0.51,0.25,0.43,0.06,0.78,0.44,-,0.27,0.24,-0.21,0.41,0.63,0.44,0.09,0.39,0.15
2009.11,0.25,0.11,0.81,0.17,0.11,-0.02,0.76,0.59,-,0.04,0.3,0.45,0.11,0.61,0.09,0.18,0.53,0.43
2009.12,0.15,0.04,0.59,0.17,-0.08,0.09,0.71,0.3,-,-0.12,0.16,0.57,0.07,0.56,0.77,0.07,0.17,0.6
2010.01,0.13,0.13,0.36,0.09,0.05,0.07,0.63,0.24,-,-0.06,0.13,0.14,0.03,0.28,0.31,-0.01,0.19,0.64
2010.02,0.26,0.23,0.76,0.11,0.02,0.09,0.93,0.41,-,0.04,0.22,0.38,0.12,0.54,0.42,0.02,0.55,0.26
2010.03,0.22,0.07,0.95,0.03,0.03,-0.01,0.5,0.26,-,0.01,0.31,0.38,0.12,0.52,0.7,0.01,0.7,0.15
2010.04,0.17,-0.02,1.13,0.2,-0.16,0.08,0.62,0.36,-,-0.11,0.19,0.4,-0.14,0.47,0.4,-0.05,0.66,0.24
2010.05,0.02,-0.25,0.91,0.09,-0.24,0.21,0.68,0.42,-,-0.48,0.06,0.42,0.13,0.48,0.33,-0.09,0.91,0.28
2010.06,0,-0.24,0.72,-0.02,-0.21,-0.02,0.28,0.13,-,-0.46,0.1,0.59,0.07,0.84,0.11,-0.22,0.99,1.18
2010.07,-0.16,-0.34,0.53,-0.02,-0.42,-0.07,0.18,0.13,-,-0.71,0.29,0.3,-0.04,0.92,0.14,-0.31,0.52,0.45
2010.08,-0.1,-0.38,0.49,0.07,-0.28,0.06,0.47,0.03,-,-0.49,0.19,0.27,-0.1,0.38,0.09,-0.14,0.72,0.09
2010.09,0.07,-0.19,0.7,0.13,-0.3,0.13,0.44,0.19,-,-0.17,-0.04,0.48,0.08,0.59,0.22,-0.01,0.71,0.04
2010.1,0.17,-0.12,1.07,0.24,-0.1,0.3,0.74,0.16,-,-0.13,0.06,0.47,0.02,0.39,0.22,0.1,0.89,0.44
2010.11,0.32,-0.06,1.33,0.35,-0.12,0.38,0.85,0.46,-,-0.03,0.14,0.66,0.18,0.51,0.56,0.38,1.78,0.26
2010.12,0.34,0.03,1.18,0.26,-0.05,0.63,1.1,0.18,-,0.05,0.19,0.59,0.11,0.59,0.24,0.19,1.54,0.53
2011.01,0.41,0.17,1.17,0.32,-0.03,0.57,0.99,0.59,-,0.14,0.28,0.74,0.13,0.59,0.3,0.4,1.45,0.64
2011.02,0.7,0.23,1.63,0.8,0.13,1.39,1.71,0.97,-,0.38,0.54,1.16,0.26,1.31,0.45,0.24,1.97,1.18
2011.03,0.87,0.22,1.96,0.93,0.15,1.66,1.54,1.48,-,0.45,0.69,1.87,0.83,0.8,0.67,0.81,3.32,0.1
2011.04,1.14,0.14,3.5,1.1,0.06,2.53,1.56,1.52,-,0.39,1.16,1.09,1.03,1.45,1.01,0.66,5.53,0.11
2011.05,0.15,0.13,0.5,0.19,-0.08,0.59,-0.82,0.38,-,0,-0.26,0.16,0.46,0.24,0.64,0.15,0.59,0
