Year_Month,Birth,CrudeB,Death,CrudeD,Nat,NatRate,Marrage,CrudeM,divorce,CrudeDiv,Sell,HPCR,CrudeB_Rate,CrudeM_Rate,CrudeDiv_Rate,HPCR_Rate
2005.01,41354.0,10.0,21762.0,5.3,19592.0,4.7,24214.0,5.9,10447.0,2.5,59.28622177,0.157,true,true,true,true
2005.02,35810.0,9.6,19057.0,5.1,16753.0,4.5,20633.0,5.5,9639.0,2.6,59.45705474,0.123,true,true,true,true
2005.03,41052.0,9.9,21855.0,5.3,19197.0,4.6,26928.0,6.5,12071.0,2.9,59.67870115,0.278,true,true,true,true
2005.04,36605.0,9.2,21087.0,5.3,15518.0,3.9,25348.0,6.3,9999.0,2.5,60.00595092,0.455,true,true,true,true
2005.05,35983.0,8.7,21132.0,5.1,14851.0,3.6,29505.0,7.1,10636.0,2.6,60.30646414,0.434,true,true,true,true
2005.06,33725.0,8.4,19105.0,4.8,14620.0,3.7,27173.0,6.8,10531.0,2.6,60.76871412,0.75,true,true,true,true
2005.07,34658.0,8.4,19377.0,4.7,15281.0,3.7,21804.0,5.3,10578.0,2.6,61.23566365,0.363,true,true,true,true
2005.08,36003.0,8.7,19485.0,4.7,16518.0,4,23344.0,5.6,12226.0,3.0,61.46053266,0.464,true,true,true,true
2005.09,37413.0,9.3,18970.0,4.7,18443.0,4.6,18991.0,4.7,10836.0,2.7,61.61654985,0.15,true,false,true,true
2005.10,37283.0,9.0,21268.0,5.1,16015.0,3.9,23867.0,5.8,10717.0,2.6,61.6091837,0.299,true,true,true,true
2005.11,35737.0,8.9,20869.0,5.2,14868.0,3.7,31693.0,7.9,10459.0,2.6,61.59867564,0.384,true,true,true,true
2005.12,33084.0,8.0,21907.0,5.3,11177.0,2.7,40804.0,9.9,9896.0,2.4,61.70038579,0.312,true,true,true,true
2006.01,40692.0,9.8,21552.0,5.2,19140.0,4.6,26287.0,6.3,10282.0,2.5,61.89352303,0.295,true,true,true,true
2006.02,37522.0,10.0,19145.0,5.1,18377.0,4.9,22319.0,6.0,10985.0,2.9,62.14736168,0.386,true,true,true,true
2006.03,41209.0,9.9,21264.0,5.1,19945.0,4.8,27425.0,6.6,11280.0,2.7,62.54604661,0.541,true,true,true,true
2006.04,37666.0,9.4,20360.0,5.1,17306.0,4.3,24364.0,6.1,9528.0,2.4,63.06011749,0.519,true,true,true,true
