시도명,시군구명,기준년도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
대구광역시,중구,2020,0.38,0.287,0.216,0.245,0.263,0.275,,,,,,
대구광역시,동구,2020,0.364,0.291,0.22,0.176,0.215,0.25,,,,,,
대구광역시,서구,2020,0.384,0.262,0.187,0.167,0.261,0.283,,,,,,
대구광역시,남구,2020,0.421,0.293,0.202,0.176,0.205,0.291,,,,,,
대구광역시,북구,2020,0.291,0.177,0.134,0.17,0.219,0.249,,,,,,
대구광역시,수성구,2020,0.52,0.312,0.245,0.293,0.284,0.329,,,,,,
대구광역시,달서구,2020,0.312,0.284,0.223,0.243,0.253,0.326,,,,,,
대구광역시,달성군,2020,0.181,0.122,0.059,0.028,0.022,0.103,,,,,,
대구광역시,중구,2019,0.415,0.3,0.522,0.478,0.509,0.501,0.44,0.471,0.461,0.439,0.4,0.423
대구광역시,동구,2019,0.4,0.404,0.433,0.45,0.41,0.424,0.408,0.41,0.346,0.384,0.395,0.343
대구광역시,서구,2019,0.325,0.308,0.294,0.409,0.406,0.396,0.372,0.371,0.361,0.335,0.322,0.419
대구광역시,남구,2019,0.404,0.339,0.407,0.442,0.37,0.405,0.394,0.416,0.508,0.463,0.484,0.494
대구광역시,북구,2019,0.295,0.283,0.289,0.348,0.324,0.323,0.327,0.32,0.308,0.33,0.287,0.3
대구광역시,수성구,2019,0.531,0.413,0.493,0.508,0.565,0.505,0.578,0.508,0.544,0.467,0.606,0.625
대구광역시,달서구,2019,0.351,0.246,0.254,0.25,0.311,0.279,0.25,0.242,0.297,0.32,0.372,0.33
대구광역시,달성군,2019,0.345,0.301,0.303,0.301,0.304,0.308,0.316,0.229,0.167,0.162,0.189,0.177
대구광역시,중구,2018,0.423,0.348,0.298,0.317,0.337,0.462,0.418,0.477,0.448,0.591,0.603,0.558
대구광역시,동구,2018,0.39,0.279,0.384,0.397,0.405,0.414,0.387,0.351,0.374,0.45,0.491,0.49
대구광역시,서구,2018,0.378,0.361,0.401,0.398,0.414,0.385,0.333,0.401,0.425,0.468,0.46,0.346
대구광역시,남구,2018,0.216,0.217,0.332,0.323,0.349,0.315,0.303,0.361,0.364,0.47,0.459,0.504
대구광역시,북구,2018,0.283,0.28,0.328,0.347,0.387,0.314,0.214,0.306,0.307,0.363,0.433,0.456
대구광역시,수성구,2018,0.445,0.431,0.514,0.692,0.603,0.603,0.436,0.571,0.642,0.736,0.647,0.624
대구광역시,달서구,2018,0.221,0.301,0.385,0.363,0.397,0.401,0.393,0.36,0.35,0.411,0.409,0.414
대구광역시,달성군,2018,0.393,0.394,0.343,0.352,0.334,0.355,0.305,0.317,0.349,0.344,0.313,0.301
대구광역시,중구,2017,0.367,0.376,0.326,0.297,0.292,0.346,0.404,0.482,0.423,0.396,0.425,0.389
대구광역시,동구,2017,0.344,0.34,0.408,0.348,0.38,0.409,0.36,0.35,0.35,0.369,0.416,0.382
대구광역시,서구,2017,0.259,0.342,0.32,0.342,0.37,0.348,0.383,0.35,0.365,0.381,0.382,0.378
대구광역시,남구,2017,0.317,0.335,0.336,0.25,0.367,0.34,0.303,0.345,0.318,0.274,0.308,0.278
대구광역시,북구,2017,0.294,0.335,0.391,0.348,0.348,0.44,0.37,0.409,0.361,0.346,0.356,0.293
대구광역시,수성구,2017,0.307,0.327,0.349,0.361,0.334,0.446,0.522,0.538,0.684,0.413,0.601,0.521
대구광역시,달서구,2017,0.23,0.354,0.345,0.309,0.36,0.375,0.402,0.423,0.436,0.35,0.35,0.36
대구광역시,달성군,2017,0.306,0.313,0.357,0.324,0.345,0.349,0.349,0.356,0.367,0.339,0.355,0.392
대구광역시,중구,2016,0.194,0.413,0.389,0.352,0.294,0.375,0.315,0.372,0.355,0.369,0.35,0.352
대구광역시,동구,2016,0.26,0.267,0.27,0.324,0.289,0.294,0.296,0.317,0.278,0.304,0.381,0.371
대구광역시,서구,2016,0.265,0.258,0.35,0.323,0.291,0.317,0.258,0.316,0.267,0.266,0.303,0.274
대구광역시,남구,2016,0.422,0.352,0.455,0.414,0.337,0.322,0.343,0.284,0.221,0.32,0.327,0.324
대구광역시,북구,2016,0.27,0.251,0.278,0.272,0.335,0.354,0.328,0.305,0.294,0.345,0.307,0.303
대구광역시,수성구,2016,0.365,0.373,0.428,0.396,0.33,0.33,0.326,0.316,0.308,0.328,0.411,0.409
대구광역시,달서구,2016,0.335,0.309,0.313,0.301,0.294,0.274,0.282,0.265,0.254,0.236,0.3,0.3
대구광역시,달성군,2016,0.428,0.404,0.454,0.425,0.361,0.343,0.317,0.361,0.306,0.328,0.329,0.255
대구광역시,중구,2015,0.186,0.158,0.212,0.224,0.215,0.231,0.28,0.26,0.299,0.327,0.372,0.362
대구광역시,동구,2015,0.305,0.276,0.381,0.369,0.319,0.342,0.41,0.351,0.313,0.367,0.36,0.369
대구광역시,서구,2015,0.243,0.248,0.299,0.31,0.302,0.28,0.302,0.268,0.339,0.346,0.324,0.316
대구광역시,남구,2015,0.248,0.296,0.29,0.294,0.326,0.267,0.433,0.382,0.362,0.388,0.384,0.378
대구광역시,북구,2015,0.256,0.274,0.316,0.317,0.308,0.283,0.319,0.353,0.365,0.351,0.271,0.336
대구광역시,수성구,2015,0.318,0.25,0.342,0.32,0.343,0.384,0.373,0.382,0.396,0.377,0.418,0.437
대구광역시,달서구,2015,0.245,0.253,0.327,0.253,0.29,0.247,0.313,0.327,0.326,0.388,0.391,0.37
대구광역시,달성군,2015,0.32,0.315,0.376,0.327,0.389,0.313,0.463,0.426,0.405,0.396,0.435,0.465
대구광역시,중구,2014,0.099,0.169,0.228,0.115,0.187,0.186,0.216,0.19,0.207,0.263,0.179,0.172
대구광역시,동구,2014,0.184,0.237,0.284,0.251,0.238,0.271,0.254,0.269,0.28,0.313,0.3,0.309
대구광역시,서구,2014,0.097,0.131,0.199,0.251,0.224,0.234,0.205,0.207,0.215,0.251,0.235,0.225
대구광역시,남구,2014,0.162,0.07,0.136,0.179,0.219,0.199,0.166,0.126,0.183,0.259,0.209,0.286
대구광역시,북구,2014,0.162,0.179,0.205,0.199,0.199,0.253,0.249,0.196,0.263,0.297,0.276,0.291
대구광역시,수성구,2014,0.161,0.17,0.227,0.274,0.241,0.287,0.29,0.265,0.298,0.321,0.366,0.28
대구광역시,달서구,2014,0.156,0.192,0.254,0.298,0.271,0.256,0.265,0.241,0.237,0.301,0.279,0.288
대구광역시,달성군,2014,0.238,0.393,0.37,0.408,0.395,0.408,0.415,0.359,0.381,0.467,0.42,0.36
대구광역시,중구,2013,0.06,0.065,0.068,0.093,0.072,0.084,0.064,-0.024,-0.031,0.063,0.083,0.097
대구광역시,동구,2013,0.153,0.163,0.19,0.206,0.195,0.168,0.095,0.132,0.159,0.265,0.214,0.225
대구광역시,서구,2013,0.081,0.096,0.102,0.115,0.104,0.125,0.058,0.071,0.105,0.136,0.165,0.18
대구광역시,남구,2013,0.042,0.035,0.065,0.079,0.082,0.147,-0.017,-0.001,-0.018,0.134,0.064,0.138
대구광역시,북구,2013,0.087,0.1,0.112,0.13,0.152,0.159,0.051,0.119,0.146,0.251,0.193,0.185
대구광역시,수성구,2013,0.101,0.116,0.125,0.128,0.14,0.195,-0.06,0.105,0.12,0.132,0.218,0.222
대구광역시,달서구,2013,0.089,0.059,0.103,0.131,0.145,0.168,0.01,0.068,0.171,0.241,0.184,0.171
대구광역시,달성군,2013,0.161,0.158,0.178,0.184,0.215,0.283,0.192,0.148,0.204,0.323,0.241,0.293
대구광역시,중구,2012,0.081,0.074,0.076,0.074,0.065,0.066,0.063,0.074,0.06,0.078,0.089,0.07
대구광역시,동구,2012,0.269,0.251,0.252,0.254,0.244,0.224,0.201,0.177,0.162,0.184,0.176,0.183
대구광역시,서구,2012,0.1,0.1,0.102,0.1,0.101,0.09,0.098,0.078,0.07,0.08,0.09,0.103
대구광역시,남구,2012,0.05,0.05,0.06,0.062,0.066,0.049,0.055,0.046,0.04,0.053,0.059,0.067
대구광역시,북구,2012,0.082,0.092,0.1,0.105,0.103,0.092,0.097,0.082,0.075,0.094,0.09,0.111
대구광역시,수성구,2012,0.121,0.115,0.117,0.114,0.106,0.103,0.101,0.109,0.098,0.119,0.122,0.138
대구광역시,달서구,2012,0.17,0.158,0.161,0.142,0.131,0.114,0.105,0.1,0.111,0.116,0.119,0.131
대구광역시,달성군,2012,0.25,0.246,0.248,0.239,0.233,0.205,0.191,0.175,0.167,0.196,0.191,0.189
대구광역시,중구,2011,0.022,0.05,0.048,0.036,0.034,0.03,0.027,0.023,0.03,0.102,0.101,0.096
대구광역시,동구,2011,0.205,0.291,0.29,0.195,0.196,0.193,0.176,0.143,0.183,0.245,0.269,0.274
대구광역시,서구,2011,0.047,0.049,0.048,0.034,0.033,0.031,0.028,0.02,0.052,0.101,0.112,0.107
대구광역시,남구,2011,0.037,0.055,0.044,0.032,0.028,0.025,0.019,0.017,0.051,0.078,0.073,0.071
대구광역시,북구,2011,0.052,0.076,0.078,0.053,0.054,0.051,0.045,0.038,0.07,0.092,0.098,0.066
