시점,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
2005,1.075,2.1,19.7,94.7,76.3,17.8,2.4,0.2
2006,1.116,2,18.5,92,84.9,19.8,2.4,0.1
2007,1.257,1.8,21.1,100.2,97.3,24.1,2.9,0.2
2008,1.186,1.2,17.9,86.9,99.3,26.2,3.4,0.2
2009,1.143,1.9,16.3,82.7,98.2,26.5,3.1,0.1
2010,1.214,2,15.8,81,109.6,31.8,3.9,0.2
2011,1.232,1.9,15.9,79.5,112.3,34,4.4,0.2
2012,1.301,1.8,15.6,79.1,120.2,39.6,5,0.2
2013,1.195,1.7,13.8,67.3,111.2,40.1,4.8,0.1
2014,1.212,1.7,13.2,63.8,113.6,44.1,5.2,0.1
2015,1.216,1.6,13.1,62.7,113.2,46.6,5.7,0.1
2016,1.144,1.4,12.9,55.7,105.8,46.8,5.4,0.2
2017,1.007,1.2,10.3,46.3,92,44.6,5.9,0.1
2018,1.006,1.2,9.1,43.3,92.3,47.1,6.6,0.2
2019,0.94,1,8.5,36.2,87,46.3,7.1,0.2
