시도명,시군구명,기준년도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서울특별시,종로구,2020,0.365,0.358,0.266,0.223,0.251,0.351,,,,,,
서울특별시,중구,2020,0.352,0.403,0.321,0.271,0.276,0.327,,,,,,
서울특별시,용산구,2020,0.443,0.407,0.377,0.332,0.382,0.438,,,,,,
서울특별시,성동구,2020,0.505,0.485,0.381,0.339,0.275,0.411,,,,,,
서울특별시,광진구,2020,0.462,0.433,0.344,0.301,0.299,0.318,,,,,,
서울특별시,동대문구,2020,0.453,0.438,0.349,0.323,0.247,0.389,,,,,,
서울특별시,중랑구,2020,0.399,0.389,0.289,0.267,0.259,0.282,,,,,,
서울특별시,성북구,2020,0.496,0.339,0.295,0.231,0.231,0.344,,,,,,
서울특별시,강북구,2020,0.366,0.398,0.294,0.263,0.253,0.285,,,,,,
서울특별시,도봉구,2020,0.301,0.318,0.181,0.164,0.168,0.245,,,,,,
서울특별시,노원구,2020,0.372,0.379,0.282,0.244,0.228,0.285,,,,,,
서울특별시,은평구,2020,0.398,0.35,0.291,0.262,0.303,0.369,,,,,,
서울특별시,서대문구,2020,0.348,0.359,0.291,0.271,0.289,0.396,,,,,,
서울특별시,마포구,2020,0.57,0.487,0.393,0.338,0.37,0.386,,,,,,
서울특별시,양천구,2020,0.389,0.396,0.367,0.339,0.353,0.37,,,,,,
서울특별시,강서구,2020,0.408,0.472,0.392,0.342,0.323,0.375,,,,,,
서울특별시,구로구,2020,0.387,0.37,0.35,0.291,0.281,0.403,,,,,,
서울특별시,금천구,2020,0.395,0.412,0.384,0.332,0.351,0.345,,,,,,
서울특별시,영등포구,2020,0.52,0.451,0.385,0.376,0.381,0.4,,,,,,
서울특별시,동작구,2020,0.448,0.449,0.39,0.363,0.314,0.36,,,,,,
서울특별시,관악구,2020,0.372,0.368,0.337,0.297,0.316,0.337,,,,,,
서울특별시,서초구,2020,0.505,0.427,0.334,0.318,0.304,0.334,,,,,,
서울특별시,강남구,2020,0.465,0.443,0.341,0.338,0.486,0.453,,,,,,
