시도명,시군구명,기준년도,변동률구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
대전광역시,동구,2020,평균지가변동률,0.304,0.365,0.312,0.31,0.316,0.325,,,,,,
대전광역시,중구,2020,평균지가변동률,0.466,0.551,0.415,0.293,0.334,0.408,,,,,,
대전광역시,서구,2020,평균지가변동률,0.502,0.529,0.399,0.312,0.338,0.362,,,,,,
대전광역시,유성구,2020,평균지가변동률,0.585,0.553,0.41,0.307,0.336,0.344,,,,,,
대전광역시,대덕구,2020,평균지가변동률,0.243,0.224,0.205,0.16,0.316,0.324,,,,,,
대전광역시,동구,2019,평균지가변동률,0.231,0.237,0.239,0.227,0.252,0.264,0.282,0.289,0.285,0.292,0.303,0.307
대전광역시,중구,2019,평균지가변동률,0.194,0.251,0.29,0.26,0.375,0.334,0.399,0.413,0.434,0.674,0.41,0.403
대전광역시,서구,2019,평균지가변동률,0.262,0.269,0.246,0.209,0.33,0.394,0.411,0.424,0.436,0.468,0.496,0.446
대전광역시,유성구,2019,평균지가변동률,0.25,0.241,0.25,0.289,0.37,0.411,0.439,0.429,0.454,0.516,0.525,0.595
대전광역시,대덕구,2019,평균지가변동률,0.209,0.199,0.204,0.234,0.271,0.266,0.225,0.222,0.185,0.264,0.21,0.125
대전광역시,동구,2018,평균지가변동률,0.189,0.213,0.241,0.225,0.241,0.236,0.211,0.24,0.2,0.236,0.226,0.223
대전광역시,중구,2018,평균지가변동률,0.217,0.199,0.208,0.238,0.217,0.283,0.229,0.24,0.214,0.265,0.221,0.245
대전광역시,서구,2018,평균지가변동률,0.301,0.328,0.262,0.289,0.302,0.292,0.283,0.305,0.389,0.375,0.266,0.266
대전광역시,유성구,2018,평균지가변동률,0.311,0.341,0.407,0.343,0.274,0.309,0.268,0.236,0.293,0.304,0.279,0.303
대전광역시,대덕구,2018,평균지가변동률,0.181,0.15,0.17,0.211,0.198,0.239,0.226,0.241,0.224,0.284,0.274,0.257
대전광역시,동구,2017,평균지가변동률,0.188,0.208,0.386,0.219,0.245,0.27,0.28,0.228,0.244,0.222,0.145,0.201
대전광역시,중구,2017,평균지가변동률,0.011,0.333,0.308,0.203,0.257,0.282,0.241,0.25,0.261,0.229,0.246,0.226
대전광역시,서구,2017,평균지가변동률,0.126,0.165,0.302,0.278,0.281,0.241,0.316,0.221,0.33,0.261,0.382,0.384
