시도명,시군구명,기준년도,변동률구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
세종특별자치시,세종시,2020,평균지가변동률,0.419,0.435,0.3,0.298,0.289,0.334,,,,,,
세종특별자치시,세종시,2019,평균지가변동률,0.455,0.333,0.391,0.317,0.554,0.578,0.463,0.408,0.398,0.346,0.313,0.288
세종특별자치시,세종시,2018,평균지가변동률,0.582,0.426,0.545,0.606,0.616,0.667,0.81,0.504,0.533,0.846,0.53,0.513
세종특별자치시,세종시,2017,평균지가변동률,0.352,0.365,0.509,0.427,0.704,0.61,0.818,0.667,0.671,0.431,0.594,0.651
세종특별자치시,세종시,2016,평균지가변동률,0.327,0.258,0.304,0.341,0.37,0.482,0.581,0.434,0.361,0.419,0.311,0.486
세종특별자치시,세종시,2015,평균지가변동률,0.055,0.076,0.219,0.308,0.393,0.436,0.468,0.343,0.403,0.39,0.803,0.587
세종특별자치시,세종시,2014,평균지가변동률,0.415,0.38,0.505,0.613,0.491,0.383,0.535,0.478,0.195,0.102,0.084,0.257
세종특별자치시,세종시,2013,평균지가변동률,0.658,0.627,0.509,0.624,0.502,0.229,0.388,0.205,0.388,0.441,0.313,0.481
세종특별자치시,세종시,2012,평균지가변동률,0.197,0.247,0.487,0.51,0.555,0.556,0.68,0.637,0.514,0.342,0.487,0.485
세종특별자치시,세종시,2011,평균지가변동률,0.085,0.033,0.032,0.035,0.15,0.106,0.099,0.094,0.095,0.097,0.117,0.131
세종특별자치시,세종시,2010,평균지가변동률,0.05,0.034,0.096,0.08,0.026,0.043,0.031,0.02,0.021,0.067,0.06,0.15
세종특별자치시,세종시,2009,평균지가변동률,-0.487,-0.353,-0.2,-0.117,-0.004,0.029,0.041,0.03,-0.002,-0.016,-0.11,-0.109
세종특별자치시,세종시,2008,평균지가변동률,-0.008,-0.008,0.045,0.04,0.031,0.021,0.001,0.018,-0.045,-0.18,-1.397,-2.317
세종특별자치시,세종시,2007,평균지가변동률,0.016,0.046,0.118,0.12,0.088,0.175,0.077,0.09,0.032,0.023,0.037,0.044
세종특별자치시,세종시,2006,평균지가변동률,3.257,3.381,1.424,0.947,0.173,0.149,0.131,0.084,0.128,0.132,0.072,0.126
세종특별자치시,세종시,2005,평균지가변동률,1.434,1.57,6.341,1.923,1.437,1.044,0.931,0.553,0.41,3.286,3.473,2.454
