시도명,시군구명,기준년도,변동률구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
인천광역시,중구,2020,평균지가변동률,0.244,0.266,0.256,0.244,0.288,0.352,,,,,,
인천광역시,동구,2020,평균지가변동률,0.247,0.251,0.205,0.171,0.168,0.229,,,,,,
인천광역시,남구,2020,평균지가변동률,0.351,0.369,0.36,0.299,0.296,,,,,,,
인천광역시,연수구,2020,평균지가변동률,0.327,0.337,0.372,0.276,0.277,0.28,,,,,,
인천광역시,남동구,2020,평균지가변동률,0.409,0.493,0.363,0.294,0.291,0.372,,,,,,
인천광역시,부평구,2020,평균지가변동률,0.445,0.419,0.354,0.309,0.302,0.384,,,,,,
인천광역시,계양구,2020,평균지가변동률,0.408,0.439,0.403,0.361,0.366,0.392,,,,,,
인천광역시,서구,2020,평균지가변동률,0.379,0.364,0.361,0.318,0.293,0.286,,,,,,
인천광역시,강화군,2020,평균지가변동률,0.231,0.227,0.277,0.262,0.256,0.277,,,,,,
인천광역시,옹진군,2020,평균지가변동률,0.17,0.297,0.333,0.219,0.21,0.253,,,,,,
인천광역시,중구,2019,평균지가변동률,0.265,0.227,0.23,0.265,0.279,0.188,0.281,0.254,0.246,0.256,0.274,0.298
인천광역시,동구,2019,평균지가변동률,0.151,0.112,0.2,0.198,0.146,0.14,0.14,0.229,0.209,0.193,0.206,0.314
인천광역시,남구,2019,평균지가변동률,0.32,0.283,0.303,0.323,0.287,0.264,0.338,0.313,0.332,0.346,0.376,0.357
인천광역시,연수구,2019,평균지가변동률,0.343,0.356,0.328,0.352,0.321,0.274,0.367,0.395,0.384,0.295,0.387,0.363
인천광역시,남동구,2019,평균지가변동률,0.36,0.326,0.313,0.317,0.324,0.294,0.36,0.399,0.382,0.428,0.38,0.367
인천광역시,부평구,2019,평균지가변동률,0.313,0.288,0.324,0.345,0.349,0.3,0.357,0.408,0.383,0.424,0.38,0.428
인천광역시,계양구,2019,평균지가변동률,0.425,0.424,0.439,0.445,0.435,0.394,0.403,0.38,0.399,0.394,0.348,0.406
인천광역시,서구,2019,평균지가변동률,0.39,0.358,0.301,0.426,0.317,0.217,0.332,0.3,0.341,0.361,0.383,0.403
인천광역시,강화군,2019,평균지가변동률,0.324,0.282,0.309,0.432,0.359,0.287,0.238,0.216,0.212,0.212,0.221,0.212
인천광역시,옹진군,2019,평균지가변동률,0.196,0.273,0.226,0.26,0.296,0.281,0.213,0.275,0.141,0.319,0.209,0.158
인천광역시,중구,2018,평균지가변동률,0.258,0.159,0.196,0.151,0.199,0.194,0.215,0.249,0.197,0.279,0.254,0.257
인천광역시,동구,2018,평균지가변동률,0.156,0.167,0.279,0.271,0.284,0.211,0.256,0.179,0.152,0.262,0.201,0.21
인천광역시,남구,2018,평균지가변동률,,,,,,0.346,0.279,0.27,0.382,0.451,0.47,0.396
인천광역시,연수구,2018,평균지가변동률,0.266,0.231,0.289,0.22,0.248,0.232,0.326,0.297,0.381,0.477,0.418,0.437
인천광역시,남동구,2018,평균지가변동률,0.112,0.169,0.223,0.297,0.316,0.385,0.339,0.322,0.359,0.429,0.444,0.417
인천광역시,부평구,2018,평균지가변동률,0.163,0.111,0.195,0.189,0.236,0.306,0.355,0.377,0.361,0.425,0.399,0.389
인천광역시,계양구,2018,평균지가변동률,0.198,0.176,0.224,0.316,0.257,0.213,0.228,0.321,0.325,0.354,0.447,0.399
인천광역시,서구,2018,평균지가변동률,0.261,0.231,0.303,0.294,0.319,0.36,0.265,0.205,0.46,0.453,0.418,0.21
인천광역시,강화군,2018,평균지가변동률,0.131,0.126,0.172,0.308,0.341,0.417,0.457,0.383,0.339,0.428,0.333,0.238
인천광역시,옹진군,2018,평균지가변동률,0.032,0.184,0.167,0.189,0.154,0.168,0.164,0.148,0.339,0.306,0.151,0.235
