군구명,구분1,구분2,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07
중구,용도지역별,주거지역,0.302,0.392,0.312,0.316,0.247,0.182,0.321,0.395,0.317,0.42,0.422,0.123,0.478,0.337,0.276,0.311,0.269,0.285,0.331,0.325,0.312,0.241,0.365,0.288
중구,용도지역별,상업지역,0.307,0.378,0.501,0.186,0.413,0.579,0.215,0.225,0.295,0.27,0.405,0.718,0.243,0.454,0.458,0.382,0.423,0.353,0.318,0.368,0.403,0.421,0.365,0.184
중구,용도지역별,공업지역,0.061,0.071,0.12,0.267,0.355,0.04,0.33,0.098,0.165,0.241,0.132,0.054,0.148,0.118,0.155,0.176,0.284,0.181,0.269,0.274,0.344,0.421,0.274,0.22
중구,용도지역별,녹지지역,0.311,0.166,0.158,0.296,0.235,0.231,0.211,0.264,0.208,0.223,0.407,0.276,0.176,0.206,0.23,0.188,0.224,0.246,0.201,0.223,0.176,0.111,0.144,0.368
중구,이용현황별,전,0.449,0,0.111,0.299,0.153,0.195,0.251,0.248,0.063,0.04,0.274,0,0.23,0.068,0.055,0.021,0.056,0.042,0.029,0.129,0.035,0.081,0.098,0.414
중구,이용현황별,답,0.21,0,0,0.31,0.095,0.02,0.087,0.349,0.023,0.183,0.151,0.134,0.053,0.036,0.043,0.039,0.018,0.046,0.03,0.104,0.088,0.084,0.078,0.469
중구,이용현황별,주거용(대),0.163,0.391,0.291,0.257,0.165,0.195,0.391,0.281,0.295,0.287,0.445,0.121,0.362,0.35,0.299,0.376,0.294,0.305,0.29,0.262,0.316,0.201,0.314,0.308
중구,이용현황별,상업용(대),0.49,0.327,0.382,0.203,0.473,0.61,0.219,0.419,0.376,0.367,0.516,0.769,0.222,0.528,0.407,0.374,0.379,0.413,0.463,0.491,0.379,0.373,0.321,0.167
중구,이용현황별,임야,0.056,0.181,0.012,0.2,0.254,0.119,0.07,0.213,0.093,0.071,0.337,0.067,0.153,0.102,0.012,0.011,0.047,0.021,0.055,0.04,0.05,0.1,0.153,0.386
중구,이용현황별,공장용지,0.063,0.111,0.145,0.255,0.412,0.041,0.417,0.083,0.211,0.283,0.165,0.044,0.176,0.194,0.171,0.191,0.301,0.189,0.283,0.277,0.323,0.323,0.289,0.161
동구,용도지역별,주거지역,0.31,0.303,0.229,0.21,0.381,0.15,0.295,0.222,0.288,0.278,0.31,0.205,0.285,0.214,0.467,0.341,0.296,0.28,0.279,0.342,0.27,0.388,0.414,0.311
동구,용도지역별,상업지역,0.282,0.145,0.145,0.071,0.035,0.341,0.274,0.026,0.18,0.133,0.186,0.123,0.402,0.23,0.305,0.249,0.148,0.153,0.195,0.143,0.202,0.187,0.237,0.192
동구,용도지역별,공업지역,0.162,0.15,0.175,0.224,0.307,0.302,0.215,0.22,0.083,0.092,0.177,0.296,0.23,0.215,0.044,0.145,0.196,0.136,0.158,0.175,0.205,0.19,0.132,0.404
동구,용도지역별,녹지지역,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동구,이용현황별,주거용(대),0.316,0.272,0.217,0.081,0.318,0.216,0.358,0.154,0.267,0.272,0.324,0.171,0.343,0.235,0.512,0.306,0.264,0.34,0.277,0.362,0.223,0.461,0.37,0.388
동구,이용현황별,상업용(대),0.21,0.148,0.099,0.309,0.178,0.267,0.151,0.212,0.239,0.162,0.206,0.333,0.273,0.217,0.377,0.337,0.283,0.113,0.233,0.226,0.253,0.17,0.316,0.385
동구,이용현황별,공장용지,0.209,0.158,0.231,0.268,0.324,0.269,0.177,0.23,0.059,0.08,0.178,0.125,0.205,0.199,0.046,0.121,0.208,0.127,0.169,0.16,0.22,0.202,0.141,0.248
미추홀구,용도지역별,주거지역,0.367,0.353,0.366,0.448,0.368,0.347,0.394,0.423,0.345,0.337,0.287,0.259,0.252,0.275,0.267,0.188,0.253,0.255,0.315,0.291,0.363,0.264,0.297,0.339
미추홀구,용도지역별,상업지역,0.225,0.258,0.279,0.195,0.323,0.373,0.311,0.179,0.147,0.168,0.36,0.333,0.364,0.32,0.436,0.445,0.35,0.247,0.376,0.353,0.395,0.225,0.287,0.314
미추홀구,용도지역별,공업지역,0.026,0.289,0.271,0.163,0.264,0.262,0.246,0.227,0.198,0.176,0.231,0.276,0.247,0.3,0.452,0.424,0.279,0.274,0.368,0.375,0.291,0.254,0.271,0.255
미추홀구,용도지역별,녹지지역,0.215,0.023,0.144,0.021,0.235,0.254,0.182,0,0.253,0.214,0.21,0.178,0.272,0.174,0.094,0,0.248,0.046,0.168,0.025,0.408,0.215,0.215,0.257
미추홀구,이용현황별,전,0,0.134,0.024,0.018,0.101,0.576,0,0,0.092,0.112,0.207,0.035,1.005,0,1.37,0,0.45,0.269,0.179,0.357,0.312,0,0,0.311
미추홀구,이용현황별,주거용(대),0.421,0.398,0.379,0.543,0.389,0.383,0.378,0.509,0.43,0.443,0.271,0.325,0.242,0.335,0.325,0.024,0.291,0.266,0.353,0.33,0.349,0.28,0.331,0.335
미추홀구,이용현황별,상업용(대),0.183,0.143,0.293,0.056,0.286,0.281,0.387,0.111,0.028,0.05,0.354,0.242,0.387,0.197,0.238,0.633,0.215,0.213,0.289,0.285,0.431,0.236,0.203,0.307
미추홀구,이용현황별,임야,0,0,0,0,0,0.224,0.095,0,0,0,0,0.513,0,0,0,0,0.413,0.214,0.214,0,0.32,0,0,0.244
